Stock,Date,Batch,Limit Order Price,First Trigger Date,Low Price,Exit Price,First Trigger Exit Date,First Trigger Exit Price,Profit/Loss (Dollars),Profit/Loss (%)
NVDA.O,2024-02-13,1,706.8543999999999,2024-02-20,677.34,728.060032,2024-02-22 00:00:00,728.060032,21.205632000000037,3.0000000000000053
NVDA.O,2024-02-14,1,724.22,2024-02-15,724.0,745.9466000000001,2024-02-22 00:00:00,745.9466000000001,21.726600000000076,3.00000000000001
NVDA.O,2024-02-15,1,712.0484,2024-02-20,677.34,733.409852,2024-02-22 00:00:00,733.409852,21.361451999999986,2.999999999999998
NVDA.O,2024-02-16,1,711.6074,2024-02-20,677.34,732.955622,2024-02-22 00:00:00,732.955622,21.348221999999964,2.999999999999995
NVDA.O,2024-02-20,1,680.6296,2024-02-21,662.48,701.048488,2024-02-22 00:00:00,701.048488,20.418888000000038,3.0000000000000058
NVDA.O,2023-11-14,2,486.6288,2023-11-15,482.0,501.227664,2023-11-22 00:00:00,501.227664,14.598863999999992,2.9999999999999982
NVDA.O,2023-11-20,2,494.0082,2023-11-21,492.22,508.828446,It did not fill,455.03,-38.978200000000015,-7.890192915826097
NVDA.O,2023-08-16,3,426.1628,2023-08-18,416.6,438.94768400000004,2023-08-24 00:00:00,438.94768400000004,12.784884000000034,3.000000000000008
NVDA.O,2023-08-17,3,424.7663,2023-08-18,416.6,437.509289,2023-08-24 00:00:00,437.509289,12.742989000000023,3.0000000000000053
NVDA.O,2023-08-21,3,460.27660000000003,2023-08-22,453.331,474.08489800000007,2023-08-24 00:00:00,474.08489800000007,13.808298000000036,3.0000000000000075
NVDA.O,2023-05-18,4,310.4444,2023-05-19,309.16,319.757732,2023-05-25 00:00:00,319.757732,9.313332000000003,3.000000000000001
NVDA.O,2023-05-19,4,306.3872,2023-05-23,306.31,315.578816,2023-05-25 00:00:00,315.578816,9.19161600000001,3.0000000000000036
NVDA.O,2023-05-22,4,305.52479999999997,2023-05-24,298.06,314.690544,2023-05-25 00:00:00,314.690544,9.165744000000018,3.000000000000006
NVDA.O,2023-05-23,4,300.7424,2023-05-24,298.06,309.76467199999996,2023-05-25 00:00:00,309.76467199999996,9.022271999999987,2.9999999999999956
NVDA.O,2023-02-14,5,225.1158,2023-02-15,221.06,231.86927400000002,2023-02-23 00:00:00,231.86927400000002,6.753474000000011,3.000000000000005
NVDA.O,2023-02-15,5,223.0872,2023-02-16,219.268,229.779816,2023-02-23 00:00:00,229.779816,6.692616000000015,3.0000000000000067
NVDA.O,2023-02-16,5,215.61960000000002,2023-02-17,209.75,222.08818800000003,2023-02-23 00:00:00,222.08818800000003,6.468588000000011,3.000000000000005
NVDA.O,2023-02-17,5,209.6024,2023-02-21,206.18,215.890472,2023-02-23 00:00:00,215.890472,6.288072,3.0
NVDA.O,2022-11-11,6,160.0046,2022-11-14,159.22,164.80473800000001,2022-11-23 00:00:00,164.80473800000001,4.800138000000004,3.000000000000002
NVDA.O,2022-11-14,6,159.69099999999997,2022-11-16,158.73,164.48172999999997,2022-11-23 00:00:00,164.48172999999997,4.790729999999996,2.9999999999999982
NVDA.O,2022-11-15,6,163.3268,2022-11-16,158.73,168.226604,2022-11-30 00:00:00,168.226604,4.899804000000017,3.0000000000000107
NVDA.O,2022-08-17,7,179.683,2022-08-19,177.7,185.07349,It did not fill,139.9,-39.78299999999999,-22.140658826934096
NVDA.O,2022-08-18,7,183.97539999999998,2022-08-19,177.7,189.49466199999998,It did not fill,139.9,-44.07539999999997,-23.957224715913096
NVDA.O,2022-08-19,7,174.9202,2022-08-22,169.66,180.16780599999998,It did not fill,139.9,-35.02019999999999,-20.020672283704222
NVDA.O,2022-05-18,8,165.9924,2022-05-20,157.55,170.972172,2022-05-26 00:00:00,170.972172,4.979771999999997,2.9999999999999982
NVDA.O,2022-05-19,8,167.8152,2022-05-20,157.55,172.849656,2022-05-26 00:00:00,172.849656,5.034456000000006,3.0000000000000036
NVDA.O,2022-05-20,8,163.6012,2022-05-23,161.7901,168.50923600000002,2022-05-26 00:00:00,168.50923600000002,4.90803600000001,3.0000000000000058
NVDA.O,2022-05-23,8,165.60039999999998,2022-05-24,157.8,170.568412,2022-05-26 00:00:00,170.568412,4.968012000000016,3.0000000000000098
NVDA.O,2022-02-09,9,261.709,2022-02-10,256.0,269.56027,It did not fill,237.14,-24.569000000000017,-9.387907943555634
NVDA.O,2022-02-10,9,253.0752,2022-02-11,237.73,260.667456,It did not fill,237.14,-15.935200000000009,-6.296626457274364
NVDA.O,2022-02-15,9,259.651,2022-02-16,255.52,267.44053,It did not fill,237.14,-22.511000000000024,-8.669714347335471
NVDA.O,2021-11-10,10,288.6982,2021-11-17,288.0,297.359146,2021-11-18 00:00:00,297.359146,8.660946000000024,3.0000000000000084
NVDA.O,2021-11-11,10,297.82199999999995,2021-11-12,296.3,306.75665999999995,2021-11-18 00:00:00,306.75665999999995,8.934660000000008,3.0000000000000036
NVDA.O,2021-11-12,10,297.82199999999995,2021-11-15,292.47,306.75665999999995,2021-11-18 00:00:00,306.75665999999995,8.934660000000008,3.0000000000000036
NVDA.O,2021-11-15,10,294.245,2021-11-17,288.0,303.07235000000003,2021-11-18 00:00:00,303.07235000000003,8.827350000000024,3.000000000000008
NVDA.O,2021-11-16,10,295.9894,2021-11-17,288.0,304.869082,2021-11-18 00:00:00,304.869082,8.879682000000003,3.000000000000001
NVDA.O,2021-08-11,11,193.05020000000002,2021-08-17,192.67,198.84170600000002,2021-08-19 00:00:00,198.84170600000002,5.791505999999998,2.9999999999999987
NVDA.O,2021-08-12,11,195.06900000000002,2021-08-16,194.53,200.92107000000001,2021-08-19 00:00:00,200.92107000000001,5.852069999999998,2.9999999999999987
NVDA.O,2021-08-13,11,197.8424,2021-08-16,194.53,203.777672,2021-08-19 00:00:00,203.777672,5.935271999999998,2.9999999999999987
NVDA.O,2021-08-16,11,195.51,2021-08-17,192.67,201.3753,2021-08-19 00:00:00,201.3753,5.865300000000019,3.0000000000000098
NVDA.O,2021-08-17,11,190.6884,2021-08-18,190.0,196.409052,2021-08-19 00:00:00,196.409052,5.720652000000001,3.0000000000000004
NVDA.O,2021-02-17,13,146.0788,2021-02-18,145.75,150.461164,It did not fill,124.6825,-21.396299999999997,-14.647094581828435
NVDA.O,2021-02-18,13,145.3242,2021-02-22,143.25,149.68392599999999,It did not fill,124.6825,-20.641699999999986,-14.20389721739393
NVDA.O,2021-02-19,13,146.2797,2021-02-22,143.25,150.668091,It did not fill,124.6825,-21.597199999999987,-14.764317947056213
NVDA.O,2021-02-22,13,140.68635,2021-02-23,133.895,144.90694050000002,It did not fill,124.6825,-16.00385,-11.37555278106227
NVDA.O,2021-02-23,13,138.59159999999997,2021-02-24,137.56,142.74934799999997,2021-02-25 00:00:00,142.74934799999997,4.157747999999998,2.999999999999999
NVDA.O,2020-11-11,14,131.4964,2020-11-13,130.5925,135.441292,2020-12-02 00:00:00,135.441292,3.94489200000001,3.000000000000008
NVDA.O,2020-11-12,14,131.87615,2020-11-13,130.5925,135.8324345,2020-12-02 00:00:00,135.8324345,3.9562845000000095,3.000000000000007
NVDA.O,2020-11-16,14,132.44945,2020-11-18,131.85,136.42293350000003,2020-12-02 00:00:00,136.42293350000003,3.9734835000000146,3.0000000000000107
NVDA.O,2020-08-17,15,120.9026,2020-08-18,120.8625,124.529678,2020-08-21 00:00:00,124.529678,3.6270779999999974,2.999999999999998
NVDA.O,2020-05-20,16,87.906,2020-05-21,87.375,90.54318,2020-05-22 00:00:00,90.54318,2.6371800000000007,3.0000000000000004
NVDA.O,2019-08-08,19,38.7737,2019-08-09,38.0375,39.936911,2019-08-16 00:00:00,39.936911,1.163211000000004,3.00000000000001
NVDA.O,2019-08-09,19,37.774100000000004,2019-08-12,37.6425,38.907323000000005,2019-08-16 00:00:00,38.907323000000005,1.133223000000001,3.000000000000002
NVDA.O,2019-08-12,19,37.10525,2019-08-14,37.077775,38.2184075,2019-08-16 00:00:00,38.2184075,1.1131574999999998,2.9999999999999996
NVDA.O,2019-08-13,19,38.23225,2019-08-14,37.077775,39.3792175,2019-08-16 00:00:00,39.3792175,1.1469675000000024,3.000000000000006
NVDA.O,2019-05-09,20,41.69655,2019-05-10,41.0,42.947446500000005,It did not fill,33.865,-7.83155,-18.7822493707513
NVDA.O,2019-05-10,20,41.3609,2019-05-13,39.4525,42.601727000000004,It did not fill,33.865,-7.495899999999999,-18.12315496036111
NVDA.O,2019-05-14,20,39.699799999999996,2019-05-15,39.3525,40.890794,2019-05-17 00:00:00,40.890794,1.1909940000000034,3.000000000000009
TSM,2023-10-12,22,90.5716,2023-10-13,90.2,93.28874800000001,2023-10-20 00:00:00,93.28874800000001,2.717148000000009,3.0000000000000098
TSM,2023-10-13,22,88.65079999999999,2023-10-17,88.52,91.310324,2023-10-20 00:00:00,91.310324,2.6595240000000047,3.0000000000000053
TSM,2023-10-16,22,89.3956,2023-10-17,88.52,92.07746800000001,2023-10-20 00:00:00,92.07746800000001,2.6818680000000086,3.0000000000000098
TSM,2023-10-17,22,89.17999999999999,2023-10-18,88.58,91.85539999999999,2023-10-20 00:00:00,91.85539999999999,2.6753999999999962,2.999999999999996
TSM,2023-07-13,23,103.45859999999999,2023-07-17,102.59,106.56235799999999,It did not fill,94.98,-8.478599999999986,-8.195162122820129
TSM,2023-07-14,23,103.0372,2023-07-17,102.59,106.128316,It did not fill,94.98,-8.057199999999995,-7.8197000694894605
TSM,2023-07-17,23,102.69420000000001,2023-07-18,102.01,105.77502600000001,It did not fill,94.98,-7.714200000000005,-7.511816636187832
TSM,2023-07-18,23,101.087,2023-07-20,97.05,104.11961000000001,It did not fill,94.98,-6.106999999999999,-6.0413307349115115
TSM,2023-07-19,23,100.9988,2023-07-20,97.05,104.02876400000001,It did not fill,94.98,-6.018799999999999,-5.959278724103651
TSM,2023-04-17,24,86.2302,2023-04-19,86.04,88.817106,It did not fill,83.49,-2.7402000000000015,-3.177772984406857
TSM,2023-04-18,24,86.3772,2023-04-19,86.04,88.96851600000001,It did not fill,83.49,-2.887200000000007,-3.3425487281365998
TSM,2022-10-06,26,72.863,2022-10-07,69.75,75.04889,It did not fill,60.95,-11.912999999999997,-16.34986206991202
TSM,2022-10-07,26,68.355,2022-10-10,67.01,70.40565000000001,It did not fill,60.95,-7.405000000000001,-10.83315046448687
TSM,2022-10-10,26,66.0912,2022-10-11,62.62,68.073936,It did not fill,60.95,-5.141199999999998,-7.778947878083614
TSM,2022-10-12,26,62.827799999999996,2022-10-13,62.32,64.712634,2022-10-14 00:00:00,64.712634,1.884833999999998,2.999999999999997
TSM,2022-07-07,27,79.037,2022-07-11,78.82,81.40811000000001,2022-07-15 00:00:00,81.40811000000001,2.3711100000000016,3.0000000000000018
TSM,2022-07-08,27,79.8798,2022-07-11,78.82,82.276194,2022-07-15 00:00:00,82.276194,2.396394000000001,3.000000000000001
TSM,2022-04-07,28,98.50959999999999,2022-04-11,96.91,101.46488799999999,It did not fill,92.93,-5.579599999999985,-5.664016501944973
TSM,2022-04-08,28,97.30420000000001,2022-04-11,96.91,100.22332600000001,2022-04-20 00:00:00,100.22332600000001,2.9191260000000057,3.0000000000000053
TSM,2022-04-13,28,99.47,2022-04-14,98.33,102.4541,It did not fill,92.93,-6.539999999999992,-6.574846687443442
TSM,2022-01-06,29,125.9006,2022-01-07,123.31,129.677618,2022-01-14 00:00:00,129.677618,3.777017999999998,2.9999999999999987
TSM,2021-10-07,30,108.6134,2021-10-12,108.555,111.871802,2021-10-15 00:00:00,111.871802,3.258402000000004,3.0000000000000036
TSM,2021-07-09,31,118.1488,2021-07-15,116.87,121.693264,It did not fill,116.15,-1.9987999999999886,-1.691764960795191
TSM,2021-07-12,31,120.17739999999999,2021-07-15,116.87,123.78272199999999,It did not fill,116.15,-4.027399999999986,-3.3512124575835274
TSM,2021-07-13,31,121.422,2021-07-15,116.87,125.06466,It did not fill,116.15,-5.271999999999991,-4.341882031262862
TSM,2021-07-14,31,121.9022,2021-07-15,116.87,125.559266,It did not fill,116.15,-5.752199999999988,-4.718700728944997
